celltype,marker
muscle_cell,gene_6857
muscle_cell,gene_7831
spermatocyte,g1811
muscle_cell,gene_7962
muscle_cell,gene_7963
muscle_cell,gene_7361
accessory_gland,gene_7963
accessory_gland,gene_7361
spermatocyte,PB.5325
hemocyte,PB.5325
muscle_cell,gene_6189
muscle_cell,gene_6234
muscle_cell,gene_312
accessory_gland,gene_6234
accessory_gland,gene_312
epithelial,gene_6234
epithelial,gene_312
cyst,gene_6234
cyst,gene_312
epithelial,gene_6234
epithelial,gene_312
epithelial,gene_979
epithelial,gene_3568
cyst,gene_979
cyst,gene_3568
cyst,gene_483
cyst,gene_2043
spermatid,gene_4245
spermatid,gene_7763
hemocyte,gene_9058
muscle_cell,gene_9058
spermatocyte,gene_2374
spermatid,gene_2374
spermatocyte,gene_2374
muscle_cell,gene_3722
muscle_cell,gene_7620
seminal_vesicle,gene_5574
seminal_vesicle,gene_5575
seminal_vesicle,gene_10032
epithelial,gene_5574
epithelial,gene_5575
epithelial,gene_10032
epithelial,gene_6444
epithelial,gene_5765
muscle_cell,gene_6444
muscle_cell,gene_5765
muscle_cell,gene_7109
muscle_cell,gene_5829
cyst,gene_5829
cyst,gene_6840
cyst,gene_10165
cyst,gene_1698
epithelial,gene_7875
epithelial,gene_3904
epithelial,gene_7875
epithelial,gene_3904
spermatid,gene_652
spermatid,gene_6238
accessory_gland,gene_652
accessory_gland,gene_6238
epithelial,gene_652
epithelial,gene_6238
epithelial,gene_652
epithelial,gene_6238
semen-secreting_cell_of_the_male_reproductive_system,gene_652
semen-secreting_cell_of_the_male_reproductive_system,gene_6238
accessory_gland,gene_652
accessory_gland,gene_6238
accessory_gland,gene_652
accessory_gland,gene_6238
seminal_vesicle,gene_652
seminal_vesicle,gene_6238
epithelial,gene_10162
epithelial,gene_9643
epithelial,gene_4726
epithelial,gene_4727
epithelial,gene_3319
muscle_cell,gene_10162
muscle_cell,gene_9643
muscle_cell,gene_4726
muscle_cell,gene_4727
muscle_cell,gene_3319
spermatocyte,PB.4536
spermatocyte,gene_7620
spermatocyte,gene_3556
spermatocyte,gene_7620
spermatocyte,gene_3556
spermatocyte,gene_2655
spermatocyte,gene_7134
spermatocyte,gene_4209
spermatocyte,gene_4209
spermatocyte,gene_4145
spermatocyte,gene_4145
spermatocyte,gene_6507
spermatocyte,gene_7195
spermatocyte,gene_6507
spermatocyte,gene_7195
spermatocyte,gene_8062
spermatocyte,gene_8062
spermatocyte,gene_8062
cyst,gene_6026
cyst,gene_6026
spermatocyte,gene_7515
spermatocyte,gene_7515
epithelial,gene_7515
spermatid,gene_7515
spermatid,gene_7515
spermatocyte,gene_7515
spermatid,gene_7515
adult_fat_cell,gene_10615
cyst,gene_4496
muscle_cell,gene_2036
adult_fat_cell,gene_1946
spermatocyte,g4138
spermatocyte,g4138
epithelial,gene_369
epithelial,gene_374
hemocyte,gene_369
hemocyte,gene_374
cyst,gene_369
cyst,gene_374
muscle_cell,gene_369
muscle_cell,gene_374
cyst,gene_534
cyst,gene_5829
cyst,gene_534
cyst,gene_5829
cyst,PB.9019
cyst,gene_5455
cyst,gene_5455
epithelial,gene_5455
spermatid,gene_2693
epithelial,gene_8759
cyst,gene_8759
cyst,gene_8759
hemocyte,gene_8759
epithelial,gene_7768
spermatocyte,STRG.12429
spermatocyte,gene_10213
spermatocyte,gene_9818
spermatocyte,gene_5501
spermatocyte,gene_3814
spermatocyte,gene_3814
hemocyte,gene_7377
adult_fat_cell,gene_7377
