celltype,marker
cyst,gene_2995
hemocyte,gene_2995
epithelial,gene_8394
muscle_cell,gene_8394
cyst,PB.9081
hemocyte,g10028
accessory_gland,gene_10176
hemocyte,gene_6974
hemocyte,gene_10018
epithelial,gene_2108
cyst,gene_9064
cyst,gene_10261
cyst,gene_3317
cyst,gene_9472
cyst,gene_3317
cyst,gene_9472
hemocyte,PB.2703
cyst,PB.2703
hemocyte,gene_6665
epithelial,gene_5109
accessory_gland,STRG.16060
epithelial,PB.5774
hemocyte,gene_9057
hemocyte,gene_9794
hemocyte,gene_2165
adult_fat_cell,gene_5284
spermatocyte,gene_3983
muscle_cell,gene_3711
epithelial,gene_3711
accessory_gland,gene_3711
semen-secreting_cell_of_the_male_reproductive_system,gene_8571
semen-secreting_cell_of_the_male_reproductive_system,gene_7208
adult_fat_cell,PB.1443
epithelial,PB.1443
epithelial,gene_299
epithelial,gene_10163
hemocyte,gene_299
hemocyte,gene_10163
muscle_cell,gene_299
muscle_cell,gene_10163
accessory_gland,gene_299
accessory_gland,gene_10163
adult_fat_cell,PB.5088
muscle_cell,gene_5182
epithelial,gene_5182
cyst,gene_3260
accessory_gland,gene_6029
cyst,gene_4158
cyst,gene_4158
accessory_gland,STRG.2386
epithelial,STRG.2386
epithelial,STRG.2386
semen-secreting_cell_of_the_male_reproductive_system,STRG.2386
semen-secreting_cell_of_the_male_reproductive_system,gene_7763
spermatid,gene_7763
accessory_gland,gene_7763
accessory_gland,gene_7763
seminal_vesicle,gene_7763
epithelial,gene_7763
epithelial,gene_7763
accessory_gland,gene_7763
adult_fat_cell,gene_2852
epithelial,gene_590
spermatocyte,PB.273
spermatocyte,g5177
cyst,gene_7390
epithelial,gene_8751
seminal_vesicle,gene_8751
epithelial,gene_8751
epithelial,gene_8751
spermatocyte,PB.8161
accessory_gland,gene_3707
adult_fat_cell,PB.5967
spermatocyte,gene_928
spermatocyte,gene_928
adult_fat_cell,gene_1904
adult_fat_cell,gene_9155
spermatocyte,g1428
epithelial,gene_3575
epithelial,gene_5593
epithelial,gene_7541
spermatocyte,gene_3540
spermatocyte,gene_6813
cyst,gene_591
epithelial,gene_7141
epithelial,gene_1931
epithelial,gene_7141
epithelial,gene_1931
seminal_vesicle,gene_7141
seminal_vesicle,gene_1931
epithelial,gene_2309
hemocyte,PB.2475
spermatocyte,gene_4717
cyst,gene_4809
cyst,gene_6598
accessory_gland,gene_6598
epithelial,gene_6598
semen-secreting_cell_of_the_male_reproductive_system,gene_6598
accessory_gland,gene_6598
epithelial,gene_6598
cyst,gene_6598
epithelial,gene_6598
seminal_vesicle,gene_6598
cyst,gene_6598
cyst,gene_6042
spermatocyte,gene_5785
cyst,gene_1133
spermatid,PB.1574
spermatid,PB.1574
spermatid,PB.1574
spermatocyte,PB.1574
spermatocyte,PB.1574
spermatocyte,PB.1574
spermatid,PB.1574
epithelial,PB.1574
spermatocyte,gene_4496
epithelial,PB.6655
muscle_cell,PB.6655
adult_fat_cell,gene_9651
adult_fat_cell,gene_7374
epithelial,g5063
epithelial,PB.1213
spermatid,g7346
accessory_gland,gene_844
epithelial,gene_844
spermatid,gene_844
accessory_gland,gene_844
seminal_vesicle,gene_844
epithelial,gene_844
spermatid,gene_4522
spermatocyte,gene_4522
spermatocyte,gene_4522
hemocyte,gene_9141
hemocyte,gene_6326
spermatocyte,gene_5723
spermatocyte,PB.2545
spermatocyte,PB.2545
spermatocyte,PB.2545
cyst,gene_1402
cyst,gene_2964
hemocyte,gene_8671
hemocyte,gene_1097
spermatid,gene_2255
spermatid,gene_2255
hemocyte,PB.8250
cyst,PB.8250
adult_fat_cell,gene_2266
epithelial,gene_2631
hemocyte,PB.7028
spermatid,PB.7953
spermatid,PB.7953
hemocyte,gene_2316
epithelial,gene_2316
cyst,gene_9540
cyst,gene_9540
hemocyte,gene_9540
epithelial,gene_2339
adult_fat_cell,g6878
epithelial,PB.6895
cyst,gene_2837
cyst,gene_2837
cyst,PB.6680
muscle_cell,gene_2450
adult_fat_cell,gene_119
cyst,gene_119
epithelial,PB.7126
cyst,gene_881
epithelial,gene_2227
epithelial,gene_8126
accessory_gland,g1396
semen-secreting_cell_of_the_male_reproductive_system,g1396
hemocyte,PB.876
cyst,g1775
accessory_gland,g1775
hemocyte,PB.1512
epithelial,gene_10350
cyst,gene_10603
adult_fat_cell,gene_9170
seminal_vesicle,PB.1200
epithelial,PB.1200
spermatid,STRG.3620
adult_fat_cell,gene_6241
spermatocyte,g2052
spermatocyte,g2052
epithelial,g2052
cyst,g2052
spermatid,g2052
spermatocyte,g2052
spermatid,g2052
epithelial,gene_4114
epithelial,gene_4114
spermatocyte,gene_7378
muscle_cell,gene_10006
muscle_cell,gene_1904
adult_fat_cell,PB.1587
epithelial,gene_9653
spermatocyte,gene_9436
spermatocyte,PB.258
spermatocyte,PB.258
hemocyte,gene_10120
adult_fat_cell,gene_9817
adult_fat_cell,gene_762
spermatocyte,g639
spermatocyte,gene_9936
adult_fat_cell,g1635
epithelial,g2217
accessory_gland,g2223
epithelial,PB.1504
hemocyte,gene_9592
epithelial,gene_9592
epithelial,PB.807
spermatocyte,PB.440
spermatid,PB.440
spermatocyte,PB.440
cyst,PB.1160
spermatocyte,STRG.3109
cyst,gene_6016
cyst,gene_6016
spermatocyte,gene_9693
adult_fat_cell,gene_762
epithelial,gene_10049
epithelial,gene_9380
semen-secreting_cell_of_the_male_reproductive_system,PB.5900
accessory_gland,PB.5900
cyst,gene_7891
hemocyte,gene_7891
cyst,gene_7891
adult_fat_cell,gene_5598
cyst,gene_5814
cyst,gene_5814
accessory_gland,gene_5814
semen-secreting_cell_of_the_male_reproductive_system,gene_6813
adult_fat_cell,PB.6234
muscle_cell,gene_369
muscle_cell,gene_7820
muscle_cell,gene_374
epithelial,gene_6101
cyst,gene_7392
cyst,gene_7391
cyst,gene_5513
cyst,gene_1461
accessory_gland,gene_1461
hemocyte,gene_5472
adult_fat_cell,PB.5007
epithelial,gene_7813
spermatid,STRG.10570
epithelial,g2713
spermatid,STRG.10253
spermatocyte,STRG.10253
muscle_cell,PB.4435
hemocyte,gene_4187
muscle_cell,gene_6277
