celltype,marker,Sex
GSC_or_Early_spermatogonia,LOC119689855,M
GSC_or_Early_spermatogonia,LOC119669432,M
Spermatocytes,LOC119669560,M
Epithelial_cells,LOC119669019,M
Epithelial_cells,LOC119674150,M
Cyst,LOC119685949,M
Spermatocytes,LOC119675652,M
Spermatocytes,LOC119675652,M
Spermatocytes,LOC119675652,M
Spermatocytes,LOC119675652,M
Spermatocytes,LOC119675652,M
Spermatocytes,LOC119675652,M
Spermatocytes,LOC119675652,M
Cyst,LOC119681140,M
Cyst,LOC119681140,M
Cyst,LOC119681140,M
Spermatids,LOC119678623,M
Spermatocytes,LOC119677656,M
Epithelial_cells,LOC119678647,M
Cyst,LOC119685179,M
Cyst,LOC119685179,M
Cyst,LOC119685179,M
Cyst,LOC119685179,M
Cyst,LOC119679112,M
GSC_or_Early_spermatogonia,LOC119671719,M
GSC_or_Early_spermatogonia,LOC119671719,M
Hub_cells,LOC119688099,M
Cyst,LOC119683759,M
Hub_cells,LOC119670533,M
Spermatids,LOC119670533,M
Hub_cells,LOC119687521,M
Hub_cells,LOC119677752,M
Cyst,LOC119672201,M
GSC_or_Early_spermatogonia,LOC119677802,M
Spermatocytes,LOC119681011,M
Spermatocytes,LOC119681011,M
Cyst,LOC119688073,M
Cyst,LOC119688073,M
Cyst,LOC119688073,M
GSC_or_Early_spermatogonia,LOC119669202,M
